date,location,location_name,value
2020-01-23,GM,Germany,0
2020-01-24,GM,Germany,0
2020-01-25,GM,Germany,0
2020-01-26,GM,Germany,0
2020-01-27,GM,Germany,0
2020-01-28,GM,Germany,0
2020-01-29,GM,Germany,0
2020-01-30,GM,Germany,0
2020-01-31,GM,Germany,0
2020-02-01,GM,Germany,0
2020-02-02,GM,Germany,0
2020-02-03,GM,Germany,0
2020-02-04,GM,Germany,0
2020-02-05,GM,Germany,0
2020-02-06,GM,Germany,0
2020-02-07,GM,Germany,0
2020-02-08,GM,Germany,0
2020-02-09,GM,Germany,0
2020-02-10,GM,Germany,0
2020-02-11,GM,Germany,0
2020-02-12,GM,Germany,0
2020-02-13,GM,Germany,0
2020-02-14,GM,Germany,0
2020-02-15,GM,Germany,0
2020-02-16,GM,Germany,0
2020-02-17,GM,Germany,0
2020-02-18,GM,Germany,0
2020-02-19,GM,Germany,0
2020-02-20,GM,Germany,0
2020-02-21,GM,Germany,0
2020-02-22,GM,Germany,0
2020-02-23,GM,Germany,0
2020-02-24,GM,Germany,0
2020-02-25,GM,Germany,0
2020-02-26,GM,Germany,0
2020-02-27,GM,Germany,0
2020-02-28,GM,Germany,0
2020-02-29,GM,Germany,0
2020-03-01,GM,Germany,0
2020-03-02,GM,Germany,0
2020-03-03,GM,Germany,0
2020-03-04,GM,Germany,0
2020-03-05,GM,Germany,0
2020-03-06,GM,Germany,0
2020-03-07,GM,Germany,0
2020-03-08,GM,Germany,0
2020-03-09,GM,Germany,2
2020-03-10,GM,Germany,0
2020-03-11,GM,Germany,1
2020-03-12,GM,Germany,0
2020-03-13,GM,Germany,4
2020-03-14,GM,Germany,2
2020-03-15,GM,Germany,2
2020-03-16,GM,Germany,6
2020-03-17,GM,Germany,7
2020-03-18,GM,Germany,4
2020-03-19,GM,Germany,16
2020-03-20,GM,Germany,23
2020-03-21,GM,Germany,17
2020-03-22,GM,Germany,10
2020-03-23,GM,Germany,29
2020-03-24,GM,Germany,34
2020-03-25,GM,Germany,49
2020-03-26,GM,Germany,61
2020-03-27,GM,Germany,75
2020-03-28,GM,Germany,91
2020-03-29,GM,Germany,100
2020-03-30,GM,Germany,112
2020-03-31,GM,Germany,130
2020-04-01,GM,Germany,145
2020-04-02,GM,Germany,187
2020-04-03,GM,Germany,168
2020-04-04,GM,Germany,169
2020-04-05,GM,Germany,140
2020-04-06,GM,Germany,226
2020-04-07,GM,Germany,206
2020-04-08,GM,Germany,333
2020-04-09,GM,Germany,258
2020-04-10,GM,Germany,160
2020-04-11,GM,Germany,-31
2020-04-12,GM,Germany,286
2020-04-13,GM,Germany,172
2020-04-14,GM,Germany,100
2020-04-15,GM,Germany,510
2020-04-16,GM,Germany,248
2020-04-17,GM,Germany,300
2020-04-18,GM,Germany,107
2020-04-19,GM,Germany,127
2020-04-20,GM,Germany,276
2020-04-21,GM,Germany,171
2020-04-22,GM,Germany,246
2020-04-23,GM,Germany,296
2020-04-24,GM,Germany,185
2020-04-25,GM,Germany,117
2020-04-26,GM,Germany,99
2020-04-27,GM,Germany,150
2020-04-28,GM,Germany,188
2020-04-29,GM,Germany,153
2020-04-30,GM,Germany,156
2020-05-01,GM,Germany,113
2020-05-02,GM,Germany,76
2020-05-03,GM,Germany,54
2020-05-04,GM,Germany,127
2020-05-05,GM,Germany,0
2020-05-06,GM,Germany,282
2020-05-07,GM,Germany,117
2020-05-08,GM,Germany,118
2020-05-09,GM,Germany,39
2020-05-10,GM,Germany,20
2020-05-11,GM,Germany,92
2020-05-12,GM,Germany,77
2020-05-13,GM,Germany,123
2020-05-14,GM,Germany,23
2020-05-15,GM,Germany,13
2020-05-16,GM,Germany,41
2020-05-17,GM,Germany,24
2020-05-18,GM,Germany,41
2020-05-19,GM,Germany,78
2020-05-20,GM,Germany,63
2020-05-21,GM,Germany,59
2020-05-22,GM,Germany,25
2020-05-23,GM,Germany,33
2020-05-24,GM,Germany,22
2020-05-25,GM,Germany,26
2020-05-26,GM,Germany,63
2020-05-27,GM,Germany,56
2020-05-28,GM,Germany,42
2020-05-29,GM,Germany,34
2020-05-30,GM,Germany,26
2020-05-31,GM,Germany,10
2020-06-01,GM,Germany,15
2020-06-02,GM,Germany,8
2020-06-03,GM,Germany,39
2020-06-04,GM,Germany,33
2020-06-05,GM,Germany,23
2020-06-06,GM,Germany,15
2020-06-07,GM,Germany,12
2020-06-08,GM,Germany,10
2020-06-09,GM,Germany,41
2020-06-10,GM,Germany,16
2020-06-11,GM,Germany,20
2020-06-12,GM,Germany,11
2020-06-13,GM,Germany,10
2020-06-14,GM,Germany,8
2020-06-15,GM,Germany,6
2020-06-16,GM,Germany,13
2020-06-17,GM,Germany,31
2020-06-18,GM,Germany,24
2020-06-19,GM,Germany,12
2020-06-20,GM,Germany,8
2020-06-21,GM,Germany,0
2020-06-22,GM,Germany,4
2020-06-23,GM,Germany,15
2020-06-24,GM,Germany,14
2020-06-25,GM,Germany,12
2020-06-26,GM,Germany,25
2020-06-27,GM,Germany,3
2020-06-28,GM,Germany,0
2020-06-29,GM,Germany,8
2020-06-30,GM,Germany,14
2020-07-01,GM,Germany,5
2020-07-02,GM,Germany,11
2020-07-03,GM,Germany,4
2020-07-04,GM,Germany,10
2020-07-05,GM,Germany,3
2020-07-06,GM,Germany,-1
2020-07-07,GM,Germany,10
2020-07-08,GM,Germany,14
2020-07-09,GM,Germany,11
2020-07-10,GM,Germany,6
2020-07-11,GM,Germany,7
2020-07-12,GM,Germany,1
2020-07-13,GM,Germany,3
2020-07-14,GM,Germany,4
2020-07-15,GM,Germany,2
2020-07-16,GM,Germany,7
