date,location,location_name,value
2020-01-22,PL,Poland,0
2020-01-23,PL,Poland,0
2020-01-24,PL,Poland,0
2020-01-25,PL,Poland,0
2020-01-26,PL,Poland,0
2020-01-27,PL,Poland,0
2020-01-28,PL,Poland,0
2020-01-29,PL,Poland,0
2020-01-30,PL,Poland,0
2020-01-31,PL,Poland,0
2020-02-01,PL,Poland,0
2020-02-02,PL,Poland,0
2020-02-03,PL,Poland,0
2020-02-04,PL,Poland,0
2020-02-05,PL,Poland,0
2020-02-06,PL,Poland,0
2020-02-07,PL,Poland,0
2020-02-08,PL,Poland,0
2020-02-09,PL,Poland,0
2020-02-10,PL,Poland,0
2020-02-11,PL,Poland,0
2020-02-12,PL,Poland,0
2020-02-13,PL,Poland,0
2020-02-14,PL,Poland,0
2020-02-15,PL,Poland,0
2020-02-16,PL,Poland,0
2020-02-17,PL,Poland,0
2020-02-18,PL,Poland,0
2020-02-19,PL,Poland,0
2020-02-20,PL,Poland,0
2020-02-21,PL,Poland,0
2020-02-22,PL,Poland,0
2020-02-23,PL,Poland,0
2020-02-24,PL,Poland,0
2020-02-25,PL,Poland,0
2020-02-26,PL,Poland,0
2020-02-27,PL,Poland,0
2020-02-28,PL,Poland,0
2020-02-29,PL,Poland,0
2020-03-01,PL,Poland,0
2020-03-02,PL,Poland,0
2020-03-03,PL,Poland,0
2020-03-04,PL,Poland,0
2020-03-05,PL,Poland,0
2020-03-06,PL,Poland,0
2020-03-07,PL,Poland,0
2020-03-08,PL,Poland,0
2020-03-09,PL,Poland,0
2020-03-10,PL,Poland,0
2020-03-11,PL,Poland,0
2020-03-12,PL,Poland,1
2020-03-13,PL,Poland,2
2020-03-14,PL,Poland,3
2020-03-15,PL,Poland,3
2020-03-16,PL,Poland,4
2020-03-17,PL,Poland,5
2020-03-18,PL,Poland,5
2020-03-19,PL,Poland,5
2020-03-20,PL,Poland,5
2020-03-21,PL,Poland,5
2020-03-22,PL,Poland,7
2020-03-23,PL,Poland,8
2020-03-24,PL,Poland,10
2020-03-25,PL,Poland,14
2020-03-26,PL,Poland,16
2020-03-27,PL,Poland,16
2020-03-28,PL,Poland,18
2020-03-29,PL,Poland,22
2020-03-30,PL,Poland,31
2020-03-31,PL,Poland,33
2020-04-01,PL,Poland,43
2020-04-02,PL,Poland,57
2020-04-03,PL,Poland,71
2020-04-04,PL,Poland,79
2020-04-05,PL,Poland,94
2020-04-06,PL,Poland,107
2020-04-07,PL,Poland,129
2020-04-08,PL,Poland,159
2020-04-09,PL,Poland,174
2020-04-10,PL,Poland,181
2020-04-11,PL,Poland,208
2020-04-12,PL,Poland,232
2020-04-13,PL,Poland,245
2020-04-14,PL,Poland,263
2020-04-15,PL,Poland,286
2020-04-16,PL,Poland,314
2020-04-17,PL,Poland,332
2020-04-18,PL,Poland,347
2020-04-19,PL,Poland,360
2020-04-20,PL,Poland,380
2020-04-21,PL,Poland,401
2020-04-22,PL,Poland,426
2020-04-23,PL,Poland,454
2020-04-24,PL,Poland,494
2020-04-25,PL,Poland,524
2020-04-26,PL,Poland,535
2020-04-27,PL,Poland,562
2020-04-28,PL,Poland,596
2020-04-29,PL,Poland,624
2020-04-30,PL,Poland,644
2020-05-01,PL,Poland,651
2020-05-02,PL,Poland,664
2020-05-03,PL,Poland,678
2020-05-04,PL,Poland,698
2020-05-05,PL,Poland,716
2020-05-06,PL,Poland,733
2020-05-07,PL,Poland,755
2020-05-08,PL,Poland,776
2020-05-09,PL,Poland,785
2020-05-10,PL,Poland,800
2020-05-11,PL,Poland,811
2020-05-12,PL,Poland,839
2020-05-13,PL,Poland,861
2020-05-14,PL,Poland,883
2020-05-15,PL,Poland,907
2020-05-16,PL,Poland,915
2020-05-17,PL,Poland,925
2020-05-18,PL,Poland,936
2020-05-19,PL,Poland,948
2020-05-20,PL,Poland,962
2020-05-21,PL,Poland,972
2020-05-22,PL,Poland,982
2020-05-23,PL,Poland,993
2020-05-24,PL,Poland,996
2020-05-25,PL,Poland,1007
2020-05-26,PL,Poland,1024
2020-05-27,PL,Poland,1028
2020-05-28,PL,Poland,1038
2020-05-29,PL,Poland,1051
2020-05-30,PL,Poland,1061
2020-05-31,PL,Poland,1064
2020-06-01,PL,Poland,1074
2020-06-02,PL,Poland,1092
2020-06-03,PL,Poland,1115
2020-06-04,PL,Poland,1117
2020-06-05,PL,Poland,1137
2020-06-06,PL,Poland,1153
2020-06-07,PL,Poland,1157
2020-06-08,PL,Poland,1166
2020-06-09,PL,Poland,1183
2020-06-10,PL,Poland,1206
2020-06-11,PL,Poland,1215
2020-06-12,PL,Poland,1222
2020-06-13,PL,Poland,1237
2020-06-14,PL,Poland,1247
2020-06-15,PL,Poland,1256
2020-06-16,PL,Poland,1272
2020-06-17,PL,Poland,1286
2020-06-18,PL,Poland,1316
2020-06-19,PL,Poland,1334
