forecast_date,target_end_date,target,location,type,quantile,location_name,value
2020-09-28,2020-09-19,-1 wk ahead inc case,PL,observed,NA,Poland,4680.0
2020-09-28,2020-09-26,0 wk ahead inc case,PL,observed,NA,Poland,7650.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,point,NA,Poland,6961.426856380614
2020-09-28,2020-10-10,2 wk ahead inc case,PL,point,NA,Poland,8420.200978212539
2020-09-28,2020-10-17,3 wk ahead inc case,PL,point,NA,Poland,10202.373943975099
2020-09-28,2020-10-24,4 wk ahead inc case,PL,point,NA,Poland,12360.332592263228
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.01,Poland,5360.4400000000005
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.025,Poland,5497.4
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.05,Poland,5637.8
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.1,Poland,5819.8
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.15,Poland,5959.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.2,Poland,6083.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.25,Poland,6206.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.3,Poland,6324.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.35,Poland,6442.8
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.4,Poland,6558.4
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.45,Poland,6677.6
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.5,Poland,6808.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.55,Poland,6957.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.6,Poland,7098.6
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.65,Poland,7259.2
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.7,Poland,7418.799999999999
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.75,Poland,7603.0
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.8,Poland,7805.799999999999
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.85,Poland,8041.6
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.9,Poland,8334.800000000001
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.95,Poland,8750.800000000001
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.975,Poland,9093.999999999998
2020-09-28,2020-10-03,1 wk ahead inc case,PL,quantile,0.99,Poland,9466.36
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.01,Poland,5947.8
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.025,Poland,6172.599999999999
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.05,Poland,6387.8
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.1,Poland,6673.6
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.15,Poland,6895.2
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.2,Poland,7081.2
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.25,Poland,7266.0
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.3,Poland,7432.799999999999
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.35,Poland,7605.8
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.4,Poland,7793.2
2020-09-28,2020-10-10,2 wk ahead inc case,PL,quantile,0.45,Poland,7969.2
