epi_week,epi_year,date,location,location_name,cum_death,inc_death,cum_case,inc_case
2,2020,2020-01-11,GM,Germany,0.0,0,0.0,0
3,2020,2020-01-18,GM,Germany,0.0,0,0.0,0
4,2020,2020-01-25,GM,Germany,0.0,0,0.0,0
5,2020,2020-02-01,GM,Germany,0.0,0,7.0,7
6,2020,2020-02-08,GM,Germany,0.0,0,0.0,-7
7,2020,2020-02-15,GM,Germany,0.0,0,2.0,2
7,2020,2020-02-15,GM02,Free State of Bavaria,0.0,0,2.0,2
8,2020,2020-02-22,GM,Germany,0.0,0,2.0,0
8,2020,2020-02-22,GM02,Free State of Bavaria,0.0,0,2.0,0
9,2020,2020-02-29,GM,Germany,0.0,0,52.0,50
9,2020,2020-02-29,GM02,Free State of Bavaria,0.0,0,3.0,1
10,2020,2020-03-07,GM,Germany,0.0,0,781.0,729
10,2020,2020-03-07,GM01,Baden-Württemberg State,0.0,0,167.0,154
10,2020,2020-03-07,GM02,Free State of Bavaria,0.0,0,120.0,117
10,2020,2020-03-07,GM03,Free Hanseatic City of Bremen,0.0,0,3.0,3
10,2020,2020-03-07,GM04,Free Hanseatic City of Hamburg,0.0,0,12.0,12
10,2020,2020-03-07,GM05,Hesse State,0.0,0,15.0,12
10,2020,2020-03-07,GM06,Lower Saxony State,0.0,0,18.0,18
10,2020,2020-03-07,GM07,North Rhine-Westphalia State,0.0,0,373.0,343
10,2020,2020-03-07,GM08,Rhineland-Palatinate State,0.0,0,12.0,11
10,2020,2020-03-07,GM09,Saarland State,0.0,0,3.0,3
10,2020,2020-03-07,GM10,Schleswig-Holstein State,0.0,0,8.0,7
10,2020,2020-03-07,GM11,Brandenburg State,0.0,0,2.0,2
10,2020,2020-03-07,GM12,Mecklenburg-Western Pomerania State,0.0,0,4.0,4
10,2020,2020-03-07,GM13,Free State of Saxony,0.0,0,4.0,4
10,2020,2020-03-07,GM15,Free State of Thüringia,0.0,0,2.0,2
10,2020,2020-03-07,GM16,Berlin State,0.0,0,27.0,27
11,2020,2020-03-14,GM,Germany,8.0,8,3776.0,2995
11,2020,2020-03-14,GM01,Baden-Württemberg State,2.0,2,562.0,395
