date,location,location_name,value
2020-04-26,GM,Germany,18884.0
2020-04-26,GM01,Baden-Wuerttemberg State,2158.0
2020-04-26,GM02,Free State of Bavaria,2907.0
2020-04-26,GM03,Free Hanseatic City of Bremen,156.0
2020-04-26,GM04,Free Hanseatic City of Hamburg,528.0
2020-04-26,GM05,Hesse State,1667.0
2020-04-26,GM06,Lower Saxony State,1440.0
2020-04-26,GM07,North Rhine-Westphalia State,4301.0
2020-04-26,GM08,Rhineland-Palatinate State,711.0
2020-04-26,GM09,Saarland State,312.0
2020-04-26,GM10,Schleswig-Holstein State,525.0
2020-04-26,GM11,Brandenburg State,557.0
2020-04-26,GM12,Mecklenburg-Western Pomerania State,493.0
2020-04-26,GM13,Free State of Saxony,914.0
2020-04-26,GM14,Sachsen-Anhalt State,653.0
2020-04-26,GM15,Free State of Thueringia,564.0
2020-04-26,GM16,Berlin State,998.0
2020-04-27,GM,Germany,18727.0
2020-04-27,GM01,Baden-Wuerttemberg State,2074.0
2020-04-27,GM02,Free State of Bavaria,2807.0
2020-04-27,GM03,Free Hanseatic City of Bremen,128.0
2020-04-27,GM04,Free Hanseatic City of Hamburg,520.0
2020-04-27,GM05,Hesse State,1687.0
2020-04-27,GM06,Lower Saxony State,1465.0
2020-04-27,GM07,North Rhine-Westphalia State,4270.0
2020-04-27,GM08,Rhineland-Palatinate State,731.0
2020-04-27,GM09,Saarland State,317.0
2020-04-27,GM10,Schleswig-Holstein State,526.0
2020-04-27,GM11,Brandenburg State,564.0
2020-04-27,GM12,Mecklenburg-Western Pomerania State,498.0
2020-04-27,GM13,Free State of Saxony,896.0
2020-04-27,GM14,Sachsen-Anhalt State,656.0
2020-04-27,GM15,Free State of Thueringia,596.0
2020-04-27,GM16,Berlin State,992.0
2020-04-28,GM,Germany,19337.0
2020-04-28,GM01,Baden-Wuerttemberg State,2125.0
2020-04-28,GM02,Free State of Bavaria,3001.0
2020-04-28,GM03,Free Hanseatic City of Bremen,136.0
2020-04-28,GM04,Free Hanseatic City of Hamburg,533.0
2020-04-28,GM05,Hesse State,1670.0
2020-04-28,GM06,Lower Saxony State,1528.0
2020-04-28,GM07,North Rhine-Westphalia State,4333.0
2020-04-28,GM08,Rhineland-Palatinate State,741.0
2020-04-28,GM09,Saarland State,342.0
2020-04-28,GM10,Schleswig-Holstein State,548.0
2020-04-28,GM11,Brandenburg State,580.0
