date,location,location_name,value
2020-04-26,GM,Germany,1354
2020-04-26,GM01,Baden-Wuerttemberg State,131
2020-04-26,GM02,Free State of Bavaria,201
2020-04-26,GM03,Free Hanseatic City of Bremen,11
2020-04-26,GM04,Free Hanseatic City of Hamburg,28
2020-04-26,GM05,Hesse State,103
2020-04-26,GM06,Lower Saxony State,127
2020-04-26,GM07,North Rhine-Westphalia State,331
2020-04-26,GM08,Rhineland-Palatinate State,77
2020-04-26,GM09,Saarland State,27
2020-04-26,GM10,Schleswig-Holstein State,31
2020-04-26,GM11,Brandenburg State,52
2020-04-26,GM12,Mecklenburg-Western Pomerania State,29
2020-04-26,GM13,Free State of Saxony,68
2020-04-26,GM14,Sachsen-Anhalt State,43
2020-04-26,GM15,Free State of Thueringia,38
2020-04-26,GM16,Berlin State,57
2020-04-27,GM,Germany,1337
2020-04-27,GM01,Baden-Wuerttemberg State,130
2020-04-27,GM02,Free State of Bavaria,196
2020-04-27,GM03,Free Hanseatic City of Bremen,10
2020-04-27,GM04,Free Hanseatic City of Hamburg,28
2020-04-27,GM05,Hesse State,102
2020-04-27,GM06,Lower Saxony State,125
2020-04-27,GM07,North Rhine-Westphalia State,325
2020-04-27,GM08,Rhineland-Palatinate State,78
2020-04-27,GM09,Saarland State,27
2020-04-27,GM10,Schleswig-Holstein State,31
2020-04-27,GM11,Brandenburg State,52
2020-04-27,GM12,Mecklenburg-Western Pomerania State,31
2020-04-27,GM13,Free State of Saxony,67
2020-04-27,GM14,Sachsen-Anhalt State,41
2020-04-27,GM15,Free State of Thueringia,38
2020-04-27,GM16,Berlin State,56
2020-04-28,GM,Germany,1369
2020-04-28,GM01,Baden-Wuerttemberg State,131
2020-04-28,GM02,Free State of Bavaria,206
2020-04-28,GM03,Free Hanseatic City of Bremen,11
2020-04-28,GM04,Free Hanseatic City of Hamburg,28
2020-04-28,GM05,Hesse State,103
2020-04-28,GM06,Lower Saxony State,128
2020-04-28,GM07,North Rhine-Westphalia State,331
2020-04-28,GM08,Rhineland-Palatinate State,79
2020-04-28,GM09,Saarland State,28
2020-04-28,GM10,Schleswig-Holstein State,32
2020-04-28,GM11,Brandenburg State,52
2020-04-28,GM12,Mecklenburg-Western Pomerania State,31
2020-04-28,GM13,Free State of Saxony,69
2020-04-28,GM14,Sachsen-Anhalt State,43
2020-04-28,GM15,Free State of Thueringia,39
2020-04-28,GM16,Berlin State,58
2020-04-29,GM,Germany,1391
2020-04-29,GM01,Baden-Wuerttemberg State,132
2020-04-29,GM02,Free State of Bavaria,211
2020-04-29,GM03,Free Hanseatic City of Bremen,11
